sim_to_OFF,sim_to_NOT,escaped
0.9231286,0.5369621,False
0.94050074,0.728914,False
0.8646025,0.5977365,False
0.9294128,0.7131116,False
0.99236804,0.4817406,False
0.9667225,0.5181011,False
0.9760252,0.6357364,False
0.9835873,0.71814036,False
0.94774497,0.4967944,False
0.946542,0.5400385,False
0.97135866,0.5644945,False
0.95276165,0.67488223,False
0.9674574,0.8785932,False
0.96129304,0.8804769,False
0.9318663,0.55970466,False
0.948848,0.4387125,False
0.9999753,0.6908582,False
0.98507184,0.7834648,False
0.95193076,0.7254479,False
0.9838649,0.8730547,False
0.88188505,0.49803612,False
0.89810944,0.38692755,False
0.90454245,0.45957997,False
0.99907756,0.60602707,False
0.99912786,0.42777413,False
0.9092984,0.6103214,False
0.9275452,0.60604507,False
0.9867445,0.65014684,False
0.95530856,0.56235486,False
0.9671065,0.6919131,False
0.99947715,0.60577667,False
0.8756193,0.44979817,False
0.94528455,0.5448975,False
0.9817687,0.6313962,False
0.87459123,0.4440042,False
0.92476356,0.5029993,False
0.90822303,0.5672611,False
0.9052739,0.73512757,False
0.99795794,0.61986876,False
0.9849863,0.6323032,False
0.93977106,0.6374229,False
0.98899156,0.7247737,False
0.99663913,0.65869415,False
0.9995017,0.5565601,False
0.98259854,0.6932998,False
0.9859754,0.6701485,False
0.99359953,0.6855979,False
0.8728906,0.60629666,False
0.9542206,0.6218831,False
0.97332364,0.69599736,False
0.9952339,0.7554944,False
0.94146705,0.47050458,False
0.99847305,0.42850184,False
0.953095,0.5534273,False
0.98922026,0.4796366,False
0.9405677,0.53359914,False
0.9990214,0.6716094,False
0.85571826,0.5531383,False
0.96052873,0.38520116,False
0.9287658,0.64917755,False
0.9849797,0.53121483,False
0.9473884,0.62391365,False
0.9793726,0.70459944,False
0.99999696,0.56450164,False
0.96998847,0.71282434,False
0.9992882,0.7830173,False
0.98544353,0.61664903,False
0.9590601,0.7235658,False
0.91052383,0.72393835,False
0.9761938,0.66826785,False
0.96178526,0.7184398,False
0.9877356,0.5542439,False
0.93486714,0.71995866,False
0.8660172,0.5906137,False
0.99102104,0.41838276,False
0.86163497,0.529532,False
0.9959705,0.6015758,False
0.9909809,0.53053284,False
0.9485036,0.60711825,False
0.947595,0.6204086,False
0.9755305,0.58373153,False
0.9614121,0.36524513,False
0.9460298,0.5122634,False
0.9950721,0.7654536,False
0.9900894,0.42766386,False
0.923226,0.60068774,False
0.9827948,0.5267496,False
0.99999356,0.5247764,False
0.98239386,0.6090719,False
0.9028542,0.6675419,False
0.97817475,0.66871953,False
0.9884528,0.77385414,False
0.93839055,0.816295,False
0.9978545,0.53701603,False
0.9904316,0.5849731,False
0.9294005,0.6576824,False
0.9702602,0.48471963,False
0.99904346,0.5484814,False
0.99676424,0.35397214,False
0.964007,0.69540966,False
0.9749651,0.7972832,False
0.92040807,0.7202954,False
0.9235361,0.74140227,False
0.9227066,0.65438676,False
0.91452634,0.6668936,False
0.99941933,0.4786685,False
0.96145725,0.56361324,False
0.91190267,0.68183964,False
0.89674723,0.53563964,False
0.99963564,0.66817045,False
0.9124384,0.66566396,False
0.99951625,0.624877,False
0.9965173,0.5919279,False
0.9071443,0.6106025,False
0.9968232,0.75889146,False
0.99970526,0.43716264,False
0.99454236,0.54733205,False
0.8252729,0.51731443,False
0.9946562,0.72975886,False
0.9656153,0.6388869,False
0.98324263,0.5609475,False
0.9583864,0.52669144,False
0.9859818,0.63904893,False
0.97992885,0.51795006,False
0.8918326,0.63886243,False
0.9461298,0.82025635,False
0.99810624,0.727299,False
0.9918382,0.50944734,False
0.90891874,0.58706665,False
0.906467,0.73352545,False
0.9986979,0.64762306,False
0.9999665,0.7264669,False
0.99583566,0.5106288,False
0.95778084,0.54339147,False
0.9810858,0.58481807,False
0.9922265,0.58224404,False
0.98356575,0.58895135,False
0.9912026,0.78874075,False
0.9997329,0.7221502,False
0.93839735,0.5738213,False
0.95139784,0.5949249,False
0.9680401,0.8375942,False
0.9158842,0.7263683,False
0.99622977,0.58578026,False
0.97477317,0.5710187,False
0.9957347,0.60192996,False
0.89004004,0.59834015,False
0.92359674,0.5489477,False
0.9142413,0.5273315,False
0.97853285,0.6158585,False
0.99817085,0.6604519,False
0.994354,0.6740798,False
0.99991816,0.5379523,False
0.98833144,0.81035316,False
0.94778156,0.6090597,False
0.94578004,0.66757065,False
0.9648993,0.6477816,False
0.9724493,0.6795392,False
0.9896449,0.7327118,False
0.98947525,0.57450277,False
0.9974741,0.7421187,False
0.98391205,0.7248623,False
0.99505067,0.604661,False
0.9715857,0.5108118,False
0.8481375,0.8481375,False
0.9995946,0.42734036,False
0.9257506,0.75573444,False
0.99289095,0.66003966,False
0.9744102,0.62622523,False
0.952182,0.66387206,False
0.9034396,0.80200166,False
0.9988157,0.6860961,False
0.86092925,0.67171836,False
0.90658283,0.69458795,False
0.96734536,0.41429564,False
0.97042906,0.7399758,False
0.99063236,0.5108264,False
0.94812304,0.65386236,False
0.99850315,0.4435073,False
0.9908965,0.7205367,False
0.9935325,0.51359993,False
0.99229705,0.701982,False
0.98311734,0.71493584,False
0.9949044,0.51917046,False
0.8824616,0.72974896,False
0.9393309,0.46406883,False
0.99982715,0.6473847,False
0.8566801,0.8566801,False
0.9871319,0.47227213,False
0.99757624,0.60145783,False
0.974877,0.5667542,False
0.9223182,0.44917578,False
