sim_to_OFF,sim_to_NOT,escaped
0.74726677,0.5109477,False
0.8928754,0.43120855,False
0.99973404,0.5686657,False
0.99968517,0.55551594,False
0.7141345,0.42275727,False
0.92978317,0.58839524,False
0.8220663,0.49220595,False
0.9864121,0.5055797,False
0.99980533,0.56250453,False
0.9534995,0.6083286,False
0.9684162,0.56483567,False
0.9723787,0.415533,False
0.81218886,0.5807874,False
0.99386245,0.57305026,False
0.89831555,0.51066065,False
0.91181624,0.41429842,False
0.79940796,0.4645136,False
0.9435849,0.6465944,False
0.99766743,0.6276101,False
0.9708806,0.43941683,False
0.9643563,0.6015943,False
0.9527747,0.42635015,False
0.9365195,0.40702313,False
0.8606149,0.73175013,False
0.953115,0.56288874,False
0.94402474,0.5372352,False
0.77168083,0.47886765,False
0.927842,0.58790386,False
0.7741427,0.5483935,False
0.9538194,0.4830513,False
0.9333796,0.5759052,False
0.99594146,0.5655103,False
0.9481839,0.57297254,False
0.97036874,0.67228806,False
0.76383746,0.47466174,False
0.9369266,0.5022867,False
0.92406064,0.7222927,False
0.88019943,0.7970104,False
0.7814832,0.582434,False
0.98440725,0.5491725,False
0.973356,0.3871706,False
0.9013045,0.51232994,False
0.9026555,0.66696084,False
0.9974768,0.6452229,False
0.9992999,0.377595,False
0.95587194,0.60348076,False
0.75424385,0.49412525,False
0.9423626,0.71397126,False
0.99966025,0.6511116,False
0.8065558,0.4748055,False
0.9685919,0.51386917,False
0.8408935,0.5619073,False
0.9124819,0.5089859,False
0.9140497,0.47374025,False
0.9210022,0.5168874,False
0.7836497,0.56080335,False
0.8934692,0.6236054,False
0.9956403,0.454517,False
0.96835333,0.5142379,False
0.99874115,0.6637178,False
0.73606944,0.68997014,False
0.9934145,0.62223387,False
0.99173445,0.45988506,False
0.97338784,0.5143228,False
0.9377067,0.5521903,False
0.98085415,0.64440835,False
0.9528078,0.56277704,False
0.9999953,0.69831014,False
0.99997485,0.49728394,False
0.94761014,0.42783904,False
0.97253686,0.5436026,False
0.9984053,0.43637872,False
0.9229894,0.4181697,False
0.85015404,0.5233568,False
0.82122886,0.52856725,False
0.97084516,0.42072284,False
0.98538876,0.5096221,False
0.8775538,0.57058495,False
0.93745923,0.45800805,False
0.98599654,0.829272,False
0.9817562,0.38686204,False
0.9968448,0.38062704,False
0.8972335,0.5053561,False
0.76545703,0.4725144,False
0.9544914,0.5703419,False
0.9997532,0.5800115,False
0.9562369,0.50756824,False
0.96332276,0.5117763,False
0.8525461,0.5301698,False
0.99810594,0.5161841,False
0.80373216,0.60665774,False
0.8225906,0.67089653,False
0.909203,0.5907122,False
0.87637126,0.60792613,False
0.7783458,0.4583419,False
0.9634743,0.710683,False
0.83093613,0.4937145,False
0.9493599,0.6332447,False
0.9998666,0.45530635,False
0.98524,0.43977678,False
0.8306345,0.5789087,False
0.954031,0.70234585,False
0.9889425,0.47440174,False
0.9419308,0.5878552,False
0.76428914,0.5043229,False
0.96406895,0.58334494,False
0.85602856,0.44526932,False
0.7509649,0.57849723,False
0.9989529,0.4634568,False
0.9880191,0.6948863,False
0.81347114,0.5621575,False
0.9545517,0.60292405,False
0.9987905,0.5122211,False
0.9989613,0.65825623,False
0.88224006,0.53337,False
0.95204437,0.5762832,False
0.8942676,0.41916612,False
0.96970344,0.50968707,False
0.9884232,0.5383564,False
0.99922764,0.5694691,False
0.91656554,0.42101422,False
0.8631069,0.634544,False
0.9842204,0.61722994,False
0.99482745,0.49788043,False
0.94627583,0.6090616,False
0.92184305,0.5232483,False
0.98826593,0.513525,False
0.81845737,0.5649468,False
0.76208854,0.48461157,False
0.99866974,0.5576729,False
0.8730184,0.43323773,False
0.9999891,0.38894433,False
0.919152,0.38413525,False
0.9864929,0.47513133,False
0.98921645,0.572497,False
0.88761204,0.48859453,False
0.9514731,0.49905977,False
0.9986235,0.54107815,False
0.9997101,0.61278814,False
0.7770629,0.4482641,False
0.8370084,0.4736988,False
0.84073216,0.5743397,False
0.8562199,0.68521845,False
0.8340816,0.4635653,False
0.9348989,0.5391772,False
0.8289258,0.5780853,False
0.84628034,0.51147676,False
0.89580387,0.48226082,False
0.8670284,0.6584837,False
0.8658265,0.5697081,False
0.7030913,0.509218,False
0.8342689,0.5386411,False
0.9883277,0.5184986,False
0.75460994,0.39238125,False
0.7823168,0.78278273,True
0.9566483,0.5169876,False
0.98329777,0.862865,False
0.87842643,0.45714194,False
0.7972622,0.52441585,False
0.98220503,0.57597446,False
0.913247,0.46712118,False
0.9997114,0.49434045,False
0.970016,0.5163008,False
0.83363605,0.39825803,False
0.97765756,0.5909641,False
0.88834083,0.6703129,False
0.99566567,0.68140364,False
0.8600339,0.6539773,False
0.84785247,0.6414714,False
0.95293015,0.50477827,False
0.99548066,0.5977484,False
0.94501126,0.58187693,False
0.92262346,0.50813985,False
0.8670938,0.53028256,False
0.985357,0.40184122,False
0.8308811,0.6019496,False
0.8030256,0.43511432,False
0.9985621,0.39109537,False
0.8870729,0.5140046,False
0.90697956,0.4410358,False
0.91545254,0.6823286,False
0.9971144,0.4460072,False
0.99354875,0.6891842,False
0.97795343,0.5872148,False
0.96805644,0.5508308,False
0.9860768,0.4789559,False
0.99413925,0.5847383,False
0.97577703,0.5574639,False
0.8838532,0.4936545,False
0.9205686,0.63753784,False
0.91014504,0.57562065,False
0.7911987,0.4900207,False
0.993341,0.93204415,False
0.9700615,0.6709144,False
0.978619,0.52273554,False
0.9225043,0.43644205,False
0.9999861,0.7544371,False
0.99798906,0.6136159,False
0.9973717,0.6071175,False
0.81006503,0.6232202,False
0.9223581,0.5057755,False
0.90153265,0.4888436,False
0.858557,0.6938354,False
0.9867161,0.530311,False
0.99964,0.5859199,False
0.7827308,0.4724328,False
0.8625166,0.48566106,False
0.97324955,0.45568377,False
0.9709233,0.45446908,False
0.98367965,0.48962343,False
0.9733324,0.7460503,False
0.7886549,0.45060462,False
0.95584726,0.7581084,False
0.99908423,0.3691249,False
0.851138,0.49426666,False
0.73981977,0.5497446,False
0.93786144,0.61791736,False
0.979306,0.5443611,False
0.9617665,0.59638786,False
0.8276118,0.6693734,False
0.99286175,0.792135,False
0.9774426,0.6449212,False
0.9378555,0.498384,False
0.99933743,0.53089345,False
0.9678665,0.5975312,False
0.99406075,0.6645662,False
0.9004624,0.5830039,False
0.925465,0.49400035,False
0.9700029,0.62031627,False
0.75772756,0.5217843,False
0.9835352,0.46950805,False
0.9997355,0.745522,False
0.7813691,0.4956342,False
0.9703924,0.74412775,False
0.94655037,0.5643757,False
0.9870572,0.6168213,False
0.9999112,0.8573924,False
0.96622896,0.6593608,False
0.9400633,0.5037315,False
0.99079764,0.6740576,False
0.92498803,0.64765537,False
0.9631429,0.66248477,False
0.9666976,0.6945355,False
0.89326,0.5962797,False
0.9527716,0.6404437,False
0.97547156,0.6190252,False
0.8045057,0.40950924,False
0.9801539,0.5960605,False
0.99836993,0.6642186,False
0.9290628,0.7049067,False
0.9998177,0.73143417,False
0.9873328,0.61366177,False
0.8394481,0.60435295,False
0.99488175,0.53593564,False
0.9064583,0.47435808,False
0.8797483,0.6920057,False
0.9274912,0.57020974,False
0.9992929,0.5814289,False
0.9993842,0.50504214,False
0.9477422,0.82353115,False
0.9812045,0.7713716,False
0.87845874,0.6723256,False
0.9970516,0.46621472,False
0.96799016,0.4825266,False
0.9078144,0.5524993,False
0.84823406,0.5371106,False
0.72356606,0.4103722,False
0.9050522,0.56071794,False
0.9963356,0.5375399,False
0.99698985,0.43505836,False
0.9499455,0.44087115,False
0.9726119,0.96510935,False
0.923512,0.6306426,False
0.9414315,0.44341624,False
0.96205497,0.69714075,False
